Наименование;Производитель ;Цена;Ссылка
БЕТАЛОК ЗОК;АстраЗенека АБ/АстраЗенека Индастриз ООО ;284;/product/betalok-zok-0025-n14-tabl-prolong-vysvob-po-60c261f3f57b4c250158e89e/
ОМАКОР;Патеон Софтджелс Б.В./Эбботт Лэбораториз ГмбХ ;1 714;/product/omakor-n28-kaps-5e327544f5a9ae000140e50b/
Набор ЭДАРБИ КЛО 0,04+0,025 N28 ТАБЛ - 2 уп. для продолжительной терапии по специальной цене;NoData;1 626;/product/6155d534304bbe9da43c20f2/
Набор Сохрани энергию и молодость Кудесан и Алфавит 50+;NoData;611;/product/61406403cb316b03d3f32191/
ГЛАТИОН;Шаньдун Луи Фармасьютикал Ко Лтд ;3 398;/product/glation-06-n5-flak-liofiliz-por-dr-ra-vv-vm-5e326604ca7bdc000192b874/
МЕТИЛЕНОВЫЙ СИНИЙ;Самарамедпром, ОАО ;72;/product/metilenovyj-sinij-1-25ml-r-r-dmest-i-naruzh-prim-vodnyjflak-polimernyj-s-pomazkom-5f7458ad16fc4e00018fe009/
ЛОНГИДАЗА;Петровакс Фарм НПО, ООО ;1 978;/product/longidaza-3000me-n10-supp-5e326ae6f5a9ae0001409868/
ДЕРИНАТ;ФЗ Иммуннолекс, ООО ;215;/product/derinat-025-10ml-flak-r-r-5e3274e965b5ab0001657115/
МЕТАДОКСИЛ;ЛАБОРАТОРИЯ БАЛДАЧИ С.П.А. ;2 083;/product/metadoksil-05-n30-tabl-5e3266d9f5a9ae0001407756/
НАТРИЯ ТИОСУЛЬФАТ;Новосибхимфарм (АО) ;102;/product/natriya-tiosulfat-03ml-10ml-n10-amp-r-r-vv-5ec3cd67dfd5af0001725cc1/
НАТРИЯ ХЛОРИД;Гротекс, ООО ;136;/product/natriya-xlorid-politvist-09-5ml-10-amp-plastik-r-r-din-groteks-5e326c0f65b5ab000165316f/
ДИМЕФОСФОН;Татхимфармпрепараты АО ;260;/product/dimefosfon-15-100ml-r-r-priem-vnutnaruzh-5e3267cb65b5ab0001650e6d/
ОМНИСКАН;ДжиИ Хелскеа Ирландия Лимитед ;11 933;/product/omniskan-05-mmolml-10ml-n10-flak-5e3274aa65b5ab0001656eed/
ВОДА ДЛЯ ИНЪЕКЦИЙ;ВЕЛФАРМ, ООО ;53;/product/voda-dlya-inekczij-5ml-n10-amp-rast-l-dinvelfarm-611d11987a3a4a8a61a1343e/
НАТРИЯ ХЛОРИД;Гротекс ООО ;142;/product/natriya-xlorid-politvist-09-10ml-n10-amp-plastik-r-r-din-groteks-5e326c0f65b5ab000165316b/
МИДЗО;СПЕШИАЛ ПРОДАКТС ЛАЙН С.П.А. ;1 995;/product/midzo-006ml-15ml-n4-flak-kap-kapli-dpriema-vnutr-5e327a4fca7bdc0001935ac5/
БАКТЕРИОФАГ КЛЕБСИЕЛЛ ПОЛИВАЛЕНТНЫЙ ОЧИЩЕННЫЙ;МИКРОГЕН НПО АО ;918;/product/bakteriofag-klebsiell-polivalent-zhidk-20ml-n4-5e3267b365b5ab0001650dbb/
ЭСПЕРАЛЬ;Софаримекс-Индустрия Кимика э Фармасуэтика С.А. ;1 544;/product/esperal-05-n20-tabl-5e327733f5a9ae000140f669/
БАКТЕРИОФАГ СИНЕГНОЙНЫЙ;МИКРОГЕН НПО АО ;847;/product/bakteriofag-sinegnojnyj-100ml-5e327027f5a9ae000140c155/
ПИОБАКТЕРИОФАГ ПОЛИВАЛЕНТНЫЙ;МИКРОГЕН НПО АО ;765;/product/piobakteriofag-polivalentnyj-20ml-n4-flak-5e3267a865b5ab0001650d5f/
КАЛЕНДУЛА;Борисовский завод медицинских препаратов, ОАО ;42;/product/kalendula-250-maz-5e32660665b5ab000164fdcd/
